danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842
0.795,0.63,7,-5.854,0,0.0434,0.157,0.0,0.0732,0.447,97.998
0.506,0.362,10,-9.48,1,0.0416,0.67,0.0,0.176,0.385,84.726
0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998
0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.025
0.568,0.485,1,-7.635,0,0.0582,0.276,0.0,0.323,0.517,66.961
0.777,0.317,1,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848
0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049
0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853
0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993
0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187
0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881
0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821
0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361
0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18
0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03
0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991
0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005
0.47,0.652,2,-9.629,1,0.0561,0.0831,4.08e-05,0.175,0.104,141.981
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818
0.61,0.682,7,-4.877,1,0.123,0.318,0.0,0.321,0.694,142.966
0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969
0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061
0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967
0.597,0.427,5,-6.764,0,0.0536,0.18,1.33e-05,0.121,0.0997,120.085
0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004
0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994
0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534
0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033
0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707
0.633,0.648,4,-6.645,1,0.062,0.121,2.62e-06,0.161,0.49,96.888
0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917
0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094
0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115
0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014
0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949
0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975
0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183
0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392
0.297,0.842,6,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127
0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136
0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08
0.16,0.954,9,-5.179,1,0.0685,0.023,4.01e-06,0.372,0.336,165.223
0.356,0.818,6,-5.343,1,0.0335,0.0122,0.000118,0.123,0.389,97.528
0.486,0.938,1,-6.652,1,0.0704,1.79e-05,0.000103,0.361,0.525,125.816
0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454
0.31,0.637,3,-8.595,0,0.037,0.215,0.116,0.0619,0.426,147.4
0.174,0.781,6,-7.066,1,0.0406,0.0452,0.00346,0.0822,0.276,81.37
0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039
0.703,0.617,5,-5.696,1,0.151,0.215,6.11e-06,0.433,0.486,173.97
0.813,0.866,7,-3.239,1,0.0851,0.17,0.0,0.0421,0.647,99.994
0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029
0.693,0.775,8,-4.244,1,0.0665,0.296,0.0,0.232,0.501,93.013
0.529,0.528,0,-6.704,0,0.0846,0.306,0.0,0.604,0.364,110.175
0.658,0.654,11,-4.344,1,0.0853,0.511,1.66e-06,0.552,0.523,165.018
0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002
0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021
0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239
0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804
0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481
0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547
0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064
0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604
