track_name,duration_ms
we can't be friends (wait for your love),228639
the boy is mine,173639
intro (end of the world),92400
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,191013
"yes, and?",214994
One Last Time,197266
Die For You (with Ariana Grande) - Remix,232857
7 rings,178626
Dangerous Woman,235946
Into You,244453
Easy On Me,224694
Set Fire to the Rain,242973
Someone Like You,285240
Rolling in the Deep,228093
Skyfall,286480
Love In The Dark,285935
When We Were Young,290900
Make You Feel My Love,212040
Chasing Pavements,210506
Hello,295502
Sundress,158205
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),190285
Praise The Lord (Da Shine) (feat. Skepta),205040
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",260986
HIGHJACK,190074
Fashion Killa,236280
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",256026
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786
LVL,220133
Jukebox Joints (feat. Joe Fox & Kanye West),323960
Cruel Summer,178426
Fortnight (feat. Post Malone),228965
I Can Do It With a Broken Heart,218004
august,261922
Lover,221306
Guilty as Sin?,254365
cardigan,239560
Down Bad,261228
Anti-Hero,200690
Don’t Blame Me,236413
I Wanna Be Yours,183956
505,253586
Do I Wanna Know?,272394
Why'd You Only Call Me When You're High?,161123
R U Mine?,201726
Fluorescent Adolescent,173493
Snap Out Of It,193030
Arabella,207356
Knee Socks,257563
I Bet You Look Good On The Dancefloor,173680
Man in the Box,285200
Would? (2022 Remaster),206773
Nutshell,259200
Rooster (2022 Remaster),374333
Them Bones (2022 Remaster),149466
Down In A Hole (2022 Remaster),338226
We Die Young,152560
No Excuses,255573
Rotten Apple,418466
I Stay Away,254400
Amanece,190004
BBY BOO - REMIX,275862
OA,235200
China,301714
SERIO CON ESE Q,247468
WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),390545
Razones,222727
Adicto (with Anuel AA & Ozuna),270740
Hasta Que Dios Diga,246000
Ella Quiere Beber - Remix,219357
Dancing Queen,230400
Gimme! Gimme! Gimme! (A Man After Midnight),292613
Lay All Your Love On Me,274466
Mamma Mia,213266
Take A Chance On Me,243933
Waterloo,168960
The Winner Takes It All,294720
Super Trouper,252853
"Money, Money, Money",186426
Chiquitita,326320
World's Smallest Violin,180742
Bang!,170858
Burn The House Down,212373
Yes I'm A Mess,164973
Weak,201159
100 Bad Days,212783
Way Less Sad,206108
Sober Up (feat. Rivers Cuomo),218763
Inertia,220933
Record Player,149538
You Shook Me All Night Long,210173
Back In Black,255493
Thunderstruck,292880
Highway to Hell,208400
T.N.T.,214666
Hells Bells,312293
Dirty Deeds Done Dirt Cheap,231933
Shoot to Thrill,317426
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),301226
Rock N Roll Train,261506
Treehouse,158801
Mary,197733
Sarah,176146
16 Mirrors,87093
Things to Do,157874
Advice,157973
Race,223255
Mis,200680
Change,124333
Forever,149640
Drowning (feat. Kodak Black),209269
Look Back at It,179449
Still Think About You,246987
My Shit,128156
Jungle,174192
Secrets,133331
Swervin (feat. 6ix9ine),189486
Me and My Guitar,161764
Demons and Angels (feat. Juice WRLD),214592
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",296011
Diet Pepsi,169697
Von dutch featuring addison rae and a. g. cook,157328
2 die 4 (feat. Charli XCX),126105
Obsessed,134087
I got it bad,172519
Nothing On (But The Radio),149552
it could’ve been u,135388
Closer,244960
Without Me,201660
Eastside (with Halsey & Khalid),170769
Him & I (with Halsey),268866
Boy With Luv (feat. Halsey),229773
Lucky,198546
Be Kind (with Halsey),172761
Bad At Love,181279
Could Have Been Me,148732
Walls Could Talk,101789
Propuesta Indecente,235133
X SI VOLVEMOS,200120
ÁNGEL,184095
Imitadora,234828
Eres Mía,250640
Llévame Contigo,226400
Cancioncitas de Amor,237093
Ella Quiere Beber - Remix,219357
Sobredosis (feat. Ozuna),198332
Odio (feat. Drake),225000
Ella Y Yo - Featuring Don Omar,267786
Dile al Amor,229360
El Perdedor,215213
Obsesion,254720
Los Infieles,257186
El Malo,238720
Volví,230125
Un Beso,263346
Enseñame a Olvidar,348826
Por un Segundo,255026
fukumean,125040
one of wun,144000
Jump,147071
Drip Too Hard (Lil Baby & Gunna),145542
on one tonight,90760
Lemonade (feat. NAV),195428
prada dem (feat. Offset),165346
hakuna matata,127853
P power (feat. Drake),193346
Drip or Drown,126168
Complicated,244506
I'm with You,223066
Sk8er Boi,204000
Girlfriend,216600
What the Hell,220706
My Happy Ending,242413
When You're Gone,240493
Here's to Never Growing Up,214320
Wish You Were Here,225760
Nobody's Home,212413
Smack That,212360
Lonely,235800
Right Now (Na Na Na),240746
I Wanna Love You,247066
Don't Matter,293053
Chammak Challo,227091
Locked Up,235066
Beautiful,312986
"Sorry, Blame It On Me",295746
Be With You,231013
Hail to the King,305906
A Little Piece of Heaven,480706
Afterlife,352426
Nightmare,374453
Dear God,393480
So Far Away,326813
Bat Country,311813
Gunslinger,251533
Seize the Day,334066
Shepherd of Fire,323800
"Sajni (From ""Laapataa Ladies"")",170044
"Satranga (From ""ANIMAL"")",271169
Chaleya,200373
O Maahi,233453
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779
Soulmate,213599
Heeriye (feat. Arijit Singh),194857
Apna Bana Le,261702
"Tum Kya Mile, Pt. 2",277500
Ve Kamleya,246988
Leave The Door Open,242096
places to be,226677
Smokin Out The Window,197442
After Last Night (with Thundercat & Bootsy Collins),249444
Skate,203122
Love's Train,307014
Come Down,169726
Coast (feat. Anderson .Paak),166720
Fly As Me,219389
Dance With The Devil,210804
Back To Black,241293
Rehab,214946
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",233733
Tears Dry On Their Own,186440
You Know I'm No Good,257186
Love Is A Losing Game,155413
Me & Mr Jones,153173
Stronger Than Me,214493
He Can Only Hold Her,166400
Our Day Will Come,169373
i like the way you kiss me,142514
if u think i'm pretty,128205
cross my heart,146216
dirty little secret,181346
wet dreams,99750
i like the way you kiss me - southstar remix,137986
i like the way you kiss me - burnt,162406
prettygrunge.wav,119104
i always kinda knew you’d be the death of me,136099
So Stunning,138228
anything,202047
"not a lot, just forever",250198
half return,128700
forwards beckon rebound,189464
ingydar,248386
Jonathan,128853
Indiana,157440
Sadness As A Gift,259015
zombie girl,164224
Free Treasure,215514
WORK,172381
BOUNCY (K-HOT CHILLI PEPPERS),187310
Crazy Form,198365
Hush-Hush,205013
HALAZIA,197025
Blind,198736
Guerrilla,207921
Deja Vu,196670
WONDERLAND,199013
"IT's You (YEOSANG, SAN, WOOYOUNG)",209538
"Dear Maria, Count Me In",182826
Monsters (feat. blackbear),174067
Weightless,198000
Monsters (feat. Demi Lovato and blackbear),174424
"Dear Maria, Count Me In - ATL's Version",187266
Fake As Hell (with Avril Lavigne),179166
Remembering Sunday,256733
Sleepwalking,187344
A Love Like War (feat. Vic Fuentes),213740
Break Your Little Heart,171706
X'CLUSIVO - REMIX,208133
La Jumpa,255693
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),264000
Hace Mucho Tiempo,171333
Pa' Que La Pases Bien,214120
ALV,224285
Si Se Da - Remix,332240
Me Prefieres A Mi,195657
Me Ama Me Odia,326936
PESO COMPLETO,193714
The Downfall Of Us All,209093
If It Means A Lot To You,243226
All I Want,202640
"I'm Made Of Wax, Larry, What Are You Made Of?",180840
