track_name,album_name,release_date,explicit,track_popularity
we can't be friends (wait for your love),eternal sunshine,08-03-2024,False,89
the boy is mine,eternal sunshine,08-03-2024,True,85
intro (end of the world),eternal sunshine,08-03-2024,True,83
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),20-03-2020,False,80
"yes, and?",eternal sunshine,08-03-2024,True,79
One Last Time,My Everything - Deluxe,22-08-2014,False,82
Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),14-03-2023,False,78
7 rings,"thank u, next",08-02-2019,True,82
Dangerous Woman,Dangerous Woman,20-05-2016,False,70
Into You,Dangerous Woman,20-05-2016,False,70
Easy On Me,30,19-11-2021,False,84
Set Fire to the Rain,21,24-01-2011,False,79
Someone Like You,21,24-01-2011,False,78
Rolling in the Deep,21,24-01-2011,False,79
Skyfall,Skyfall,04-10-2012,False,84
Love In The Dark,25,20-11-2015,False,74
When We Were Young,25,20-11-2015,False,73
Make You Feel My Love,19,28-01-2008,False,72
Chasing Pavements,19,28-01-2008,False,70
Hello,25,20-11-2015,False,72
Sundress,Sundress,20-11-2018,True,83
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),18-08-2023,True,83
Praise The Lord (Da Shine) (feat. Skepta),TESTING,25-05-2018,True,81
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,26-05-2015,True,79
HIGHJACK,HIGHJACK,02-08-2024,True,77
Fashion Killa,LONG.LIVE.A$AP (Deluxe Version),2013,True,77
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),02-06-2023,False,76
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),2013,True,76
LVL,LONG.LIVE.A$AP (Deluxe Version),2013,True,76
Jukebox Joints (feat. Joe Fox & Kanye West),AT.LONG.LAST.A$AP,26-05-2015,True,72
Cruel Summer,Lover,23-08-2019,False,92
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,18-04-2024,False,89
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,18-04-2024,True,87
august,folklore,24-07-2020,False,87
Lover,Lover,23-08-2019,False,86
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,18-04-2024,False,81
cardigan,folklore,24-07-2020,False,85
Down Bad,THE TORTURED POETS DEPARTMENT,18-04-2024,True,81
Anti-Hero,Midnights,21-10-2022,False,84
Don’t Blame Me,reputation,10-11-2017,False,85
I Wanna Be Yours,AM,09-09-2013,False,91
505,Favourite Worst Nightmare (Standard Version),24-04-2007,False,78
Do I Wanna Know?,AM,09-09-2013,False,85
